itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum,브랜드
429980,7,SOL 한국형글로벌전기차&2차전지액티브,9600,5,-95,-0.98,9653.0,-7.1805,178911,1730,86,SOL
423170,4,SOL 한국형글로벌반도체액티브,8590,5,-25,-0.29,8660.0,-3.1479,9554,82,86,SOL
269370,4,TIGER S&P글로벌인프라(합성),12140,2,35,0.29,12180.0,0.8077,292,3,85,TIGER
280320,4,KINDEX 미국IT인터넷S&P(합성 H),10530,5,-75,-0.71,10484.0,-9.7447,1564,16,84,KINDEX
429990,7,SOL 한국형글로벌플랫폼&메타버스액티브,9310,5,-55,-0.59,9536.0,-7.9607,1778,16,84,SOL
375760,2,HANARO 탄소효율그린뉴딜,6930,5,-175,-2.46,6925.0,-7.6073,179,1,83,HANARO
403790,1,마이다스 KoreaStock액티브,15775,5,-325,-2.02,15848.0,-7.0976,46,0,83,마이다스
278620,6,ARIRANG 단기채권액티브,105775,3,0,0.0,105782.0,-0.0756,982,103,83,ARIRANG
429010,4,TIGER 미국나스닥넥스트100,10305,2,30,0.29,10379.0,1.632,466,4,82,TIGER
438080,7,KINDEX 미국S&P500채권혼합액티브,10290,2,75,0.73,10289.0,,1634,16,82,KINDEX
438100,7,KINDEX 미국나스닥100채권혼합액티브,10255,2,80,0.79,10250.0,,140,1,82,KINDEX
310080,4,KBSTAR 중국MSCI China(H),7750,5,-140,-1.77,7698.0,-20.1013,210,1,81,KBSTAR
391590,4,KINDEX 미국스팩&IPO INDXX,6750,3,0,0.0,6755.0,-0.2955,0,0,81,KINDEX
417450,2,KBSTAR 글로벌수소경제Indxx,9510,2,30,0.32,9472.0,-2.1672,1051,9,81,KBSTAR
437370,4,KBSTAR 글로벌농업경제MV,10075,2,195,1.97,10171.0,,1470,14,81,KBSTAR
272570,6,KBSTAR 중장기국공채액티브,95580,5,-110,-0.11,95758.0,-1.5535,22,2,80,KBSTAR
156080,1,KODEX MSCI Korea,13360,5,-260,-1.91,13360.0,-8.3754,560,7,80,KODEX
100910,1,KOSEF KRX100,4440,5,-110,-2.42,4440.0,-8.4508,207,0,80,KOSEF
364690,1,KODEX 혁신기술테마액티브,9980,5,-225,-2.2,10009.0,-7.2695,184,1,80,KODEX
432840,4,HANARO 미국S&P500,9885,5,-95,-0.95,9994.0,4.887,38,0,79,HANARO
292750,1,ARIRANG KRX300,12995,5,-315,-2.37,13018.0,-8.1753,20,0,78,ARIRANG
261070,2,TIGER 코스닥150바이오테크,6720,2,10,0.15,6850.0,-13.9744,3245,21,78,TIGER
145850,2,TREX 펀더멘탈 200,31105,5,-760,-2.39,31050.0,-6.7785,2,0,78,TREX
305050,1,KINDEX 코스피,22105,5,-510,-2.26,22127.0,-7.3156,369,8,77,KINDEX
253150,3,ARIRANG 200선물레버리지,21885,5,-835,-3.68,21784.0,-17.2465,16457,363,77,ARIRANG
435530,7,히어로즈 TDF2030액티브,10190,5,-55,-0.54,10328.0,,217,2,76,히어로즈
442090,2,에셋플러스 코리아대장장이액티브,8490,5,-375,-4.23,8477.0,,32193,278,76,에셋플러스
272910,6,KINDEX 중장기국공채액티브,91965,5,-245,-0.27,91996.0,-2.578,12,1,76,KINDEX
225050,4,TIGER 유로스탁스레버리지(합성 H),5845,5,-240,-3.94,5942.0,-11.8116,6792,39,76,TIGER
261120,7,TIGER 미국달러선물인버스2X,5845,5,-165,-2.75,5820.0,-19.0027,67759,399,76,TIGER
435550,7,히어로즈 TDF2050액티브,10120,5,-35,-0.34,10259.0,,69,0,76,히어로즈
435540,7,히어로즈 TDF2040액티브,10115,5,-90,-0.88,10298.0,,105,1,76,히어로즈
272230,2,KINDEX 스마트밸류,10810,5,-245,-2.22,10814.0,-8.5608,21003,226,76,KINDEX
367740,2,HANARO Fn5G산업,10045,5,-475,-4.52,10047.0,-9.4665,1697,17,75,HANARO
433880,7,ARIRANG TDF2060액티브,10045,2,20,0.2,10217.0,,1130,11,75,ARIRANG
416090,4,KINDEX 중국과창판STAR50,7525,3,0,0.0,7799.0,-11.9369,4306,32,75,KINDEX
