번호,제목,생산일,조회수,내용번호
2013,부채증명서의 발급비용은 얼마입니까?,2010-03-11,5940,2895225
2012,"도시가스사, 한국가스공사, 한국가스안전공사의 구별은?",2010-03-10,3424,2894707
2011,(환경신고)유독물과 위험물의 차이점이 무엇입니까?,2010-03-09,5446,2894605
2010,폐기물부담금제도란?,2010-03-09,783,2894173
2009,주민자치위원장은 중임이 가능한지요?,2010-03-04,322,2895243
2008,주민자치위원장은 계속 할 수 있습니까?,2010-03-04,202,2895245
2007,주민자치위원이 되려면 어떻게 해야 하나요?,2010-03-04,376,2895244
2006,중랑구청 에너지 절약차원의 유리에 단열필름 부착. 관련문의시?,2010-03-02,516,2894828
2005,(동작구)청소년 자립지원,2010-03-02,401,2898448
2004,증명서 발급 수수료 선･후불카드 납부 (u-payment 시스템),2010-03-02,421,2895620
2003,만화로 보는 창업 가이드북- 박저돌의 '성공창업 따라하기’배포:,2010-02-23,332,2894618
2002,재정비촉진지구로 지정을 받을 수 있는 조건은 무엇인가요?,2010-02-23,160,2898278
2001,구 도시계획위원회의 심의를 거쳐 증축200㎡허가를 받은 사항(사당지구)을 지침에서 정한 완화규모 제한 범위 이내로 설계변경(증축면적200㎡→298㎡변경)하고자 하는 경우 구 도시계획위원회의 심의를 거쳐 당초 허가받은 행위를 1회로 보아 더 이상의 설계변경은 불가한 것인지 또는 건축물이 완공되어 사용검사를 득하여 건축행위가 종료되는 것을 1회로 보아 가능한 것이지 여부,2010-02-23,497,2896122
2000,도시계획시설은 무엇이고 저촉 또는 접한다고 되어 있는데 이는 무엇을 말하는 것입니까?,2010-02-23,8255,2896120
1999,"도시지역, 관리지역 등은 무엇입니까?",2010-02-23,2942,2896392
1998,도시계획 사항의 확인,2010-02-23,518,2896395
1997,임대주택 공급자 또는 주거이전비 지급대상자간 상호 전환,2010-02-23,476,2896531
1996,공유지분으로 소유한 토지 등의 동의자 수 산정 방법,2010-02-23,1381,2898275
1995,조합 창립총회 개최 시기 및 조합장 선출에 필요한 정족수,2010-02-23,1131,2896534
1994,2종일반주거지역내에 새로 건축할 때 몇 층 까지 가능한가요,2010-02-23,4044,2896393
1993,강동구 음식물 재활용센터,2010-02-17,4370,2896283
1992,구제역이 사람한테도 전염되나요?,2010-02-05,713,2895077
1991,100세가 되면 나라에서 지팡이가 지급되나요?,2010-01-28,1698,2896838
1990,으뜸도시추진반 명칭이 변경 되었나요?,2010-01-28,118,2897589
1989,"공무원 국내, 해외 출장시 지급되는 여비규정은?",2010-01-27,5685,2897588
1988,'25시 시청' 언제나 열려있는 민원사무창구,2010-01-27,2025,2894607
1987,신용카드사 콜센터 전화번호,2010-01-25,13260,2896818
1986,영어 사용이 가능한 부동산 중개사무소,2010-01-22,4172,2898350
1985,외국어-중국 영사부에서 지정한 여행사를 알 수 있나요?,2010-01-21,2952,2894295
1984,역사미관지구은 건축심의 없이 몇층까지 건축이 가능한지,2010-01-19,253,2894486
1983,도봉구) 보금자리주택 장애인전형 문의,2010-01-12,276,2898048
1982,"신월여의지하도로(구,서울제물포터널) 개통 사업은?",2010-01-03,7532,2898609
